language,judge_id,source_id,model_key,stage,source_type,n_rows,n_valid,n_errors,mean_task_success,mean_factual_grounding,mean_instruction_following,mean_reference_alignment,mean_conditional_appropriateness,mean_response_shape_and_length,mean_discourse_naturalness,mean_safety,overall_0_100,utility_0_100,conditional_naturalness_0_100,distribution_faithfulness_0_100
en,qwen3_30b_a3b_instruct_2507,qwen25_1_5b__baselm,qwen25_1_5b,baselm,model,160,160,0,4.09375,4.5375,3.98125,3.75,4.44375,4.125,4.625,5.0,81.7375,79.398438,83.726562,82.171875
en,qwen3_30b_a3b_instruct_2507,qwen25_1_5b__sft,qwen25_1_5b,sft,model,0,0,0,,,,,,,,,,,,
en,qwen3_30b_a3b_instruct_2507,qwen25_1_5b__dpo,qwen25_1_5b,dpo,model,0,0,0,,,,,,,,,,,,
en,qwen3_30b_a3b_instruct_2507,qwen25_1_5b__dist_sft,qwen25_1_5b,dist_sft,model,0,0,0,,,,,,,,,,,,
en,qwen3_30b_a3b_instruct_2507,gemma2_2b__baselm,gemma2_2b,baselm,model,0,0,0,,,,,,,,,,,,
en,qwen3_30b_a3b_instruct_2507,gemma2_2b__sft,gemma2_2b,sft,model,0,0,0,,,,,,,,,,,,
en,qwen3_30b_a3b_instruct_2507,gemma2_2b__dpo,gemma2_2b,dpo,model,0,0,0,,,,,,,,,,,,
en,qwen3_30b_a3b_instruct_2507,gemma2_2b__dist_sft,gemma2_2b,dist_sft,model,0,0,0,,,,,,,,,,,,
en,qwen3_30b_a3b_instruct_2507,qwen25_3b__baselm,qwen25_3b,baselm,model,0,0,0,,,,,,,,,,,,
en,qwen3_30b_a3b_instruct_2507,qwen25_3b__sft,qwen25_3b,sft,model,0,0,0,,,,,,,,,,,,
en,qwen3_30b_a3b_instruct_2507,qwen25_3b__dist_sft,qwen25_3b,dist_sft,model,0,0,0,,,,,,,,,,,,
en,qwen3_30b_a3b_instruct_2507,llama32_3b__baselm,llama32_3b,baselm,model,0,0,0,,,,,,,,,,,,
en,qwen3_30b_a3b_instruct_2507,llama32_3b__sft,llama32_3b,sft,model,0,0,0,,,,,,,,,,,,
