language,judge_id,source_id,model_key,stage,source_type,n_rows,n_valid,n_errors,mean_task_success,mean_factual_grounding,mean_instruction_following,mean_reference_alignment,mean_conditional_appropriateness,mean_response_shape_and_length,mean_discourse_naturalness,mean_safety,overall_0_100,utility_0_100,conditional_naturalness_0_100,distribution_faithfulness_0_100
zh,qwen25_7b_instruct,gemma2_2b__baselm,gemma2_2b,baselm,model,6357,6345,12,2.802206,3.127975,3.036249,2.552403,3.151931,3.208983,3.211032,4.604413,52.104649,49.577423,54.020292,51.321513
zh,qwen25_7b_instruct,gemma2_2b__dist_sft,gemma2_2b,dist_sft,model,6357,6342,15,3.511353,3.652949,3.762851,3.331441,3.878272,3.941816,3.90555,4.692684,68.690634,65.72828,71.412409,69.11345
zh,qwen25_7b_instruct,gemma2_2b__dpo,gemma2_2b,dpo,model,6357,6344,13,2.654792,2.901797,2.682062,2.423392,2.857976,2.793979,2.765605,4.035151,44.964218,43.907629,45.393876,43.604193
zh,qwen25_7b_instruct,gemma2_2b__hdpo,gemma2_2b,hdpo,model,4368,4322,46,2.599491,3.174456,3.329014,2.137899,3.423878,3.493522,3.466682,4.645997,53.742943,48.055588,57.91792,54.105738
zh,qwen25_7b_instruct,gemma2_2b__sft,gemma2_2b,sft,model,6357,6347,10,3.729163,3.870332,3.990074,3.533323,4.110761,4.132819,4.123838,4.85505,74.070427,71.0889,76.726012,74.456436
zh,qwen25_7b_instruct,llama32_3b__baselm,llama32_3b,baselm,model,6357,6344,13,3.363493,3.625631,3.611286,3.255202,3.688997,3.678752,3.701923,4.531526,65.048865,63.0186,66.680919,64.910939
zh,qwen25_7b_instruct,llama32_3b__dist_sft,llama32_3b,dist_sft,model,6357,6346,11,3.876615,3.996061,4.097384,3.720454,4.201859,4.245194,4.221399,4.876615,77.032186,74.430153,79.423456,77.439332
zh,qwen25_7b_instruct,llama32_3b__dpo,llama32_3b,dpo,model,6357,6349,8,2.605765,2.993857,2.733816,2.440227,2.892897,2.830209,2.804064,4.030241,45.611356,44.369783,46.177941,44.553867
zh,qwen25_7b_instruct,llama32_3b__hdpo,llama32_3b,hdpo,model,3507,3474,33,2.354634,2.863846,2.958837,1.874784,3.025043,3.078008,3.059873,4.540875,45.63342,41.002807,48.689911,44.910766
zh,qwen25_7b_instruct,llama32_3b__sft,llama32_3b,sft,model,6357,6356,1,3.772341,3.883103,4.047986,3.554279,4.1663,4.198395,4.165041,4.887036,75.113947,71.954649,77.915946,75.543581
zh,qwen25_7b_instruct,qwen25_1_5b__baselm,qwen25_1_5b,baselm,model,6357,6338,19,3.246766,3.622752,3.553487,3.102714,3.661092,3.601767,3.657305,4.388608,63.293705,60.939768,65.022483,63.323998
zh,qwen25_7b_instruct,qwen25_1_5b__dist_sft,qwen25_1_5b,dist_sft,model,6357,6347,10,4.022845,4.118481,4.248937,3.853159,4.335907,4.378131,4.350874,4.918859,80.334568,77.783008,82.620726,80.726327
zh,qwen25_7b_instruct,qwen25_1_5b__dpo,qwen25_1_5b,dpo,model,6357,6350,7,3.145984,3.445512,3.389606,3.05685,3.536063,3.477953,3.453071,4.186929,59.854252,57.706693,61.608858,60.073622
zh,qwen25_7b_instruct,qwen25_1_5b__hdpo,qwen25_1_5b,hdpo,model,3398,3350,48,2.342388,2.870149,3.013134,1.883881,3.100896,3.13194,3.133433,4.628358,46.545672,41.35,50.226493,46.178358
zh,qwen25_7b_instruct,qwen25_1_5b__sft,qwen25_1_5b,sft,model,6357,6352,5,4.00677,4.125945,4.270938,3.827298,4.364137,4.378463,4.356108,4.921914,80.437579,77.705841,82.808958,80.855242
zh,qwen25_7b_instruct,qwen25_3b__baselm,qwen25_3b,baselm,model,6357,6333,24,3.105006,3.555029,3.393494,2.991473,3.492184,3.420338,3.483025,4.166588,59.658929,57.781462,60.853466,59.553134
zh,qwen25_7b_instruct,qwen25_3b__dist_sft,qwen25_3b,dist_sft,model,6357,6351,6,4.113683,4.206109,4.335065,3.95544,4.417887,4.45237,4.433632,4.93812,82.42391,79.963785,84.634113,82.856637
zh,qwen25_7b_instruct,qwen25_3b__dpo,qwen25_3b,dpo,model,6357,6348,9,3.546471,3.832703,3.782766,3.457624,3.913043,3.848299,3.846408,4.54017,69.552694,67.541155,71.16198,69.691241
zh,qwen25_7b_instruct,qwen25_3b__hdpo,qwen25_3b,hdpo,model,3260,3235,25,2.264915,2.793818,2.892736,1.811128,2.957032,3.000309,2.995672,4.576198,43.954405,39.255023,47.11051,43.197836
zh,qwen25_7b_instruct,qwen25_3b__sft,qwen25_3b,sft,model,6357,6356,1,4.109503,4.229232,4.362964,3.953744,4.450126,4.450913,4.441001,4.946665,82.753304,80.215544,84.95929,83.177313
